date, pm25, pm10, o3, no2, so2, co
9/11/2019,113,72,7,17,2,5
9/12/2019,107,95,4,14,2,6
9/13/2019,135,91,4,9,4,11
9/14/2019,134,42,7,7,3,10
9/15/2019,80,44,14,4,5,10
9/16/2019,99,50,11,5,3,9
9/17/2019,95,54,12,8,3,12
9/18/2019,88,59,28,7,3,12
9/19/2019,99,42,17,5,2,8
9/20/2019,77,30,17,4,3,10
9/21/2019,242,178,17,10,5,12
9/22/2019,264,127,16,10,3,30
9/23/2019,206,144,10,13,5,34
9/24/2019,209,188,14,14,4,9
9/25/2019,248,185,13,14,5,9
9/26/2019,235,149,12,11,3,9
9/27/2019,242,142,11,12,3,11
9/28/2019,278,148,17,11,3,9
9/29/2019,244,131,23,11,3,7
9/30/2019,212,159,4,11,4,8
10/1/2019,252,166,21,13,6,8
10/2/2019,275,121,21,8,3,7
10/3/2019,213,106,33,12,4,6
10/4/2019,163,140,3,18,4,8
10/5/2019,203,137,17,17,3,6
10/6/2019,191,176,29,20,4,8
10/7/2019,234,186,37,20,7,5
10/8/2019,238,90,23,9,6,4
10/9/2019,165,163,33,17,5,6
10/10/2019,261,166,30,12,3,5
10/11/2019,281,140,32,12,3,4
10/12/2019,220,106,17,12,5,3
10/13/2019,169,88,10,10,3,3
10/14/2019,170,105,13,8,3,4
10/15/2019,194,91,32,10,3,4
10/16/2019,165,109,35,13,4,4
10/17/2019,179,165,6,18,2,7
10/18/2019,266,58,11,9,6,7
10/19/2019,123,66,17,7,2,7
10/20/2019,151,73,25,7,3,23
10/21/2019,159,90,29,9,4,28
10/22/2019,158,115,34,14,4,16
10/23/2019,180,124,35,13,6,15
10/24/2019,191,105,31,12,4,7
10/25/2019,167,204,44,20,5,10
10/26/2019,247,125,24,13,3,6
10/27/2019,181,96,33,13,4,5
10/28/2019,153,123,44,17,5,5
10/29/2019,176,133,38,15,7,5
10/30/2019,187,128,34,14,5,5
10/31/2019,207,87,32,8,4,5
11/1/2019,122,95,33,7,4,4
11/2/2019,112,85,38,9,5,5
11/3/2019,127,112,40,11,6,4
11/4/2019,167,157,44,16,5,5
11/5/2019,217,237,68,20,5,9
11/6/2019,300,210,48,17,5,8
11/7/2019,256,140,64,14,5,6
11/8/2019,232,152,56,17,5,5
11/9/2019,235,135,45,15,5,8
11/10/2019,205,119,36,13,5,6
11/11/2019,198,95,31,11,4,8
11/12/2019,158,99,39,12,5,6
11/13/2019,157,118,46,13,6,7
11/14/2019,185,123,61,14,11,7
11/15/2019,199,124,42,13,7,8
11/16/2019,184,122,37,12,6,6
11/17/2019,175,101,31,9,7,7
11/18/2019,145,123,34,14,8,8
11/19/2019,165,82,27,8,5,6
11/20/2019,131,84,28,7,6,7
11/21/2019,133,74,32,6,6,7
11/22/2019,132,87,38,7,7,6
11/23/2019,135,103,40,13,7,8
11/24/2019,163,106,40,9,8,6
11/25/2019,181,73,39,5,6,4
11/26/2019,135,122,37,12,7,10
11/27/2019,168,129,44,11,7,11
11/28/2019,177,121,24,11,7,10
11/29/2019,177,139,39,11,9,11
11/30/2019,186,150,38,12,10,9
12/1/2019,199,153,55,12,9,8
12/2/2019,187,146,75,11,13,7
12/3/2019,205,145,49,12,9,8
12/4/2019,169,70,16,7,4,4
12/5/2019,151,83, ,10,3,12
12/6/2019,139,94, ,9,5,6
12/7/2019,136,42,10,3,4,8
12/8/2019,93,75,44,7,5,30
12/9/2019,146,118,32,9,8,43
12/10/2019,153,121,24,10,6,14
12/11/2019,171,50,37,5,6,10
12/12/2019,97,100,35,5,7,10
12/13/2019,136,89,38,6,7,8
12/14/2019,128,109,38,7,8,7
12/15/2019,147,123,75,10,13,12
12/16/2019,174,101,48,7,7,21
12/17/2019,134,38,35,5,5,20
12/18/2019,73,64,57,5,6,7
12/19/2019,163,99, ,7,2,3
12/20/2019,146,77, ,6,1,3
